pass,ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1,2048,2048,141.52,0,0.00,0.000,0,0.00,0
1,4096,2048,221.30,0,0.00,0.000,0,0.00,0
2,2048,2048,223.89,0,0.00,0.000,0,0.00,0
2,4096,2048,223.86,0,0.00,0.000,0,0.00,0
3,2048,2048,224.84,0,0.00,0.000,0,0.00,0
3,4096,2048,223.74,0,0.00,0.000,0,0.00,0
