pass,ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1,2048,2048,160.97,0,0.00,0.000,0,0.00,0
1,4096,2048,218.31,0,0.00,0.000,0,0.00,0
1,6144,2048,218.54,0,0.00,0.000,0,0.00,0
1,8192,2048,216.91,0,0.00,0.000,0,0.00,0
1,10240,2048,214.96,0,0.00,0.000,0,0.00,0
1,12288,2048,213.99,0,0.00,0.000,0,0.00,0
1,14336,2048,212.76,0,0.00,0.000,0,0.00,0
1,16384,2048,211.35,0,0.00,0.000,0,0.00,0
1,18432,2048,209.96,0,0.00,0.000,0,0.00,0
1,20480,2048,209.09,0,0.00,0.000,0,0.00,0
1,22528,2048,207.72,0,0.00,0.000,0,0.00,0
1,24576,2048,206.50,0,0.00,0.000,0,0.00,0
1,26624,2048,205.56,0,0.00,0.000,0,0.00,0
1,28672,2048,204.35,0,0.00,0.000,0,0.00,0
1,30720,2048,202.71,0,0.00,0.000,0,0.00,0
1,32768,2048,201.22,0,0.00,0.000,0,0.00,0
2,2048,2048,212.94,0,0.00,0.000,0,0.00,0
2,4096,2048,215.43,0,0.00,0.000,0,0.00,0
2,6144,2048,215.67,0,0.00,0.000,0,0.00,0
2,8192,2048,214.59,0,0.00,0.000,0,0.00,0
2,10240,2048,213.10,0,0.00,0.000,0,0.00,0
2,12288,2048,212.13,0,0.00,0.000,0,0.00,0
2,14336,2048,211.25,0,0.00,0.000,0,0.00,0
2,16384,2048,209.68,0,0.00,0.000,0,0.00,0
2,18432,2048,209.01,0,0.00,0.000,0,0.00,0
2,20480,2048,208.27,0,0.00,0.000,0,0.00,0
2,22528,2048,206.95,0,0.00,0.000,0,0.00,0
2,24576,2048,205.98,0,0.00,0.000,0,0.00,0
2,26624,2048,204.82,0,0.00,0.000,0,0.00,0
2,28672,2048,203.79,0,0.00,0.000,0,0.00,0
2,30720,2048,201.93,0,0.00,0.000,0,0.00,0
2,32768,2048,200.53,0,0.00,0.000,0,0.00,0
