pass,ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1,2048,2048,124.42,0,0.00,0.000,0,0.00,0
1,4096,2048,183.75,0,0.00,0.000,0,0.00,0
2,2048,2048,184.93,0,0.00,0.000,0,0.00,0
2,4096,2048,184.98,0,0.00,0.000,0,0.00,0
3,2048,2048,185.81,0,0.00,0.000,0,0.00,0
3,4096,2048,185.26,0,0.00,0.000,0,0.00,0
