card0,100
card1,100
card2,100
card3,100

device,GPU use (%)
card0,100
card1,100
card2,100
card3,100

device,GPU use (%)
card0,100
card1,100
card2,100
card3,100

device,GPU use (%)
card0,100
card1,99
card2,100
card3,100

device,GPU use (%)
card0,28
card1,28
card2,27
card3,28

device,GPU use (%)
card0,10
card1,10
card2,10
card3,10

device,GPU use (%)
card0,3
card1,3
card2,3
card3,3

device,GPU use (%)
card0,4
card1,4
card2,4
card3,9

