"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4508,20,"void moe_down_q2K_hotlist_wmma_n2_kernel<4, 16, 16, 16, true, true, false>(float*, __half*, char const*, float const*, __half const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned int, unsigned int)",4508,187770406766007,187770421996799,512,0,40,0,128,128,1,1,16384,7,192
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4509,78,"moe_sum_f16x2_kernel(float*, __half const*, unsigned int, unsigned int, unsigned int)",4509,187770422010479,187770422226441,0,0,16,0,128,256,1,1,4194304,1,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4510,292,"void matmul_q8_0_f32_batch_sharedx_warp_rows_w32_toktile_kernel<32u, 16u>(float*, unsigned char const*, float const*, unsigned int, unsigned int, unsigned int, unsigned long)",4510,187770422231001,187770430545226,0,0,80,0,128,1024,1,1,65536,64,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4511,292,"void matmul_q8_0_f32_batch_sharedx_warp_rows_w32_toktile_kernel<32u, 16u>(float*, unsigned char const*, float const*, unsigned int, unsigned int, unsigned int, unsigned long)",4511,187770430550346,187770438550687,0,0,80,0,128,1024,1,1,65536,64,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4512,68,"swiglu_kernel(float*, float const*, float const*, unsigned int, float, float)",4512,187770438555448,187770438615168,0,0,16,0,128,256,1,1,4194304,1,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4513,292,"void matmul_q8_0_f32_batch_sharedx_warp_rows_w32_toktile_kernel<32u, 16u>(float*, unsigned char const*, float const*, unsigned int, unsigned int, unsigned int, unsigned long)",4513,187770438619488,187770446897633,0,0,80,0,128,1024,1,1,131072,64,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4514,113,"hc_expand4_add_kernel(float*, float const*, float const*, float const*, float const*, unsigned int, unsigned int)",4514,187770446902393,187770447441360,0,0,24,0,128,256,1,1,8388608,1,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4515,291,"rms_norm_plain_kernel(float*, float const*, unsigned int, unsigned int, float)",4515,187770447445640,187770447945326,1024,0,16,0,128,256,1,1,524288,1,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4516,105,"f32_to_f16_kernel(__half*, float const*, unsigned long)",4516,187770447949726,187770448292531,0,0,8,0,128,256,1,1,33554432,1,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4517,3952,"Cijk_Alik_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT64x64x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT2_2_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR2_PLR1_PKA0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_4_1",4517,187770448296771,187770448456213,13312,0,160,0,128,128,1,1,128,32,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4518,98,"hc_split_weighted_sum_norm_fused_kernel(float*, float*, float*, float const*, float const*, float const*, float const*, float const*, unsigned int, unsigned int, unsigned int, unsigned int, float, float)",4518,187770448460493,187770448817857,1024,0,96,0,128,256,1,1,524288,1,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4519,292,"void matmul_q8_0_f32_batch_sharedx_warp_rows_w32_toktile_kernel<32u, 16u>(float*, unsigned char const*, float const*, unsigned int, unsigned int, unsigned int, unsigned long)",4519,187770448822177,187770452763027,0,0,80,0,128,1024,1,1,32768,64,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4520,292,"void matmul_q8_0_f32_batch_sharedx_warp_rows_w32_toktile_kernel<32u, 16u>(float*, unsigned char const*, float const*, unsigned int, unsigned int, unsigned int, unsigned long)",4520,187770452767787,187770454782933,0,0,80,0,128,1024,1,1,16384,64,1
"KERNEL_DISPATCH","Agent 1",1,0,1760434,4521,180,"dsv4_qkv_rms_norm_rows_kernel(float*, float const*, float const*, unsigned int, float*, float const*, float const*, unsigned int, unsigned int, float)",4521,187770454787533,187770454821333,1024,0,16,0,128,256,1,1,524288,2,1
