"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
14504,"matmul_q8_0_f32_batch_wmma_4w_kernel",1,0,7223,855933,855933,32768,128,4096,0,88,0,128,32,"0x0","0x727917a769c0",130249129256773,130249129295231,130249129848196,130249129849186,552965
14505,"matmul_q8_0_f32_batch_wmma_4w_kernel",1,0,7224,855933,855933,32768,128,4096,0,88,0,128,32,"0x0","0x727917a769c0",130249129262223,130249129852196,130249130316240,130249130323665,464044
14506,"swiglu_kernel",1,0,7225,855933,855933,1048576,256,0,0,16,0,128,32,"0x0","0x727917a77900",130249129267744,130249130320320,130249130332040,130249130351628,11720
14507,"f32_to_f16_kernel",1,0,7226,855933,855933,1048576,256,0,0,8,0,128,32,"0x0","0x727917a76600",130249129273114,130249130336040,130249130344200,130249130347981,8160
14508,"Cijk_Alik_Bljk_HSS_BH_HA_S_UserArgs_MT128x128x32_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB1_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA256_LBSPPB0_LBSPPM0_LPA16_LPB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB2_ONLL1_PGR1_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB4_WSGRA0_WSGRB0_WS32_WG32_4_1.kd",1,0,7227,855933,855933,16384,128,9216,0,256,0,128,32,"0x0","0x7276c965fd40",130249129321165,130249130348200,130249130438601,130249130444323,90401
14509,"hc_expand4_add_kernel",1,0,7228,855933,855933,2097152,256,0,0,24,0,128,32,"0x0","0x727917a77780",130249129333869,130249130442601,130249130568722,130249130575091,126121
14510,"rms_norm_plain_kernel",1,0,7229,855933,855933,131072,256,1024,0,8,0,128,32,"0x0","0x727917a76f40",130249129343868,130249130572762,130249130664443,130249130665602,91681
14511,"f32_to_f16_kernel",1,0,7230,855933,855933,8388608,256,0,0,8,0,128,32,"0x0","0x727917a76600",130249129349509,130249130669243,130249130731843,130249130737669,62600
14512,"Cijk_Alik_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1.kd",1,0,7231,855933,855933,2048,32,6656,0,128,0,128,32,"0x0","0x7276e9949b40",130249129370408,130249130735963,130249130825244,130249130842277,89281
14513,"hc_split_weighted_sum_fused_kernel",1,0,7232,855933,855933,131072,256,0,0,40,0,128,32,"0x0","0x727917a77840",130249129380077,130249130829364,130249130905725,130249130913642,76361
14514,"rms_norm_weight_kernel",1,0,7233,855933,855933,131072,256,1024,0,16,0,128,32,"0x0","0x727917a76f80",130249129386429,130249130910445,130249130936285,130249130951815,25840
