"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
19814,"moe_down_q2K_hotlist_wmma_n2_kernel",4,3,3160,872567,872567,2228224,128,11776,0,40,0,128,32,"0x0","0x780a26879e00",133464824210483,133464824233061,133464826389388,133464826399038,2156327
19815,"moe_sum_f16x2_kernel",4,3,3161,872567,872567,1048576,256,0,0,16,0,128,32,"0x0","0x780a26878a00",133464824214801,133464826402988,133464826442388,133464826443412,39400
19816,"moe_filter_owned_pairs_kernel",2,1,6832,872567,872567,3072,256,0,0,8,0,128,32,"0x0","0x780c3b478c40",133464824219300,133464824749124,133464824751124,133464824760475,2000
19817,"__amd_rocclr_copyBuffer.kd",2,1,6833,872567,872567,1024,512,0,0,16,0,128,32,"0x783a84fd3800","0x783ac826d7c0",133464824226173,133464824756084,133464824758644,133464824764643,2560
19818,"q8_K_quantize_kernel",2,1,6834,872567,872567,2097152,256,2560,0,24,0,128,32,"0x0","0x780c3b477e40",133464824768079,133464824787884,133464824849684,133464824852609,61800
19819,"__amd_rocclr_fillBufferAligned.kd",2,1,6835,872567,872567,256,256,0,0,16,0,128,32,"0x0","0x783ac826d740",133464824772347,133464824854324,133464824856684,133464824864382,2360
19820,"moe_count_sorted_pairs_kernel",2,1,6836,872567,872567,3072,256,0,0,8,0,128,32,"0x0","0x780c3b478080",133464824775754,133464824861004,133464824863204,133464824867888,2200
19821,"moe_prefix_sorted_pairs_kernel",2,1,6837,872567,872567,1,1,0,0,8,0,128,32,"0x0","0x780c3b4780c0",133464824779491,133464824867564,133464824881844,133464824885261,14280
19822,"moe_scatter_sorted_pairs_deterministic_kernel",2,1,6838,872567,872567,128,1,0,0,8,0,128,32,"0x0","0x780c3b478140",133464824783318,133464824886284,133464825089566,133464825093566,203282
19823,"moe_build_expert_tile_offsets_kernel",2,1,6839,872567,872567,1,1,0,0,8,0,128,32,"0x0","0x780c3b478180",133464824787195,133464825093806,133464825111686,133464825117751,17880
19824,"moe_build_expert_tiles_kernel",2,1,6840,872567,872567,256,256,0,0,16,0,128,32,"0x0","0x780c3b4781c0",133464824790923,133464825116126,133464825121206,133464825128151,5080
19825,"moe_build_expert_tile_offsets_kernel",2,1,6841,872567,872567,1,1,0,0,8,0,128,32,"0x0","0x780c3b478180",133464824794189,133464825125526,133464825144086,133464825149842,18560
19826,"moe_build_expert_tiles_kernel",2,1,6842,872567,872567,256,256,0,0,16,0,128,32,"0x0","0x780c3b4781c0",133464824797735,133464825148086,133464825150846,133464825153870,2760
19827,"__amd_rocclr_fillBufferAligned.kd",2,1,6843,872567,872567,8192,256,0,0,16,0,128,32,"0x0","0x783ac826d740",133464824801172,133464825155166,133464825170406,133464825176232,15240
